dimension	value	count
total	rows	3011
historical_kind	helper	652
historical_kind	output_table	315
historical_kind	stdout	2044
endpoint_role	client	168
endpoint_role	client-server	1029
endpoint_role	local	298
endpoint_role	not-applicable	1027
endpoint_role	peer	249
endpoint_role	server	240
owning_operation	connection_state	66
owning_operation	frame_codec	1
owning_operation	hpack_header_block	154
owning_operation	receive_frame	1150
owning_operation	send_data	201
owning_operation	send_goaway	27
owning_operation	send_headers	960
owning_operation	send_ping	10
owning_operation	send_priority	60
owning_operation	send_push_promise	129
owning_operation	send_rst_stream	10
owning_operation	send_settings	181
owning_operation	send_window_update	54
owning_operation	stream_state	8
operation_branch	accepted	763
operation_branch	diagnostic-failure	1001
operation_branch	empty-output-rejection	37
operation_branch	exact-output-success	275
operation_branch	projection	623
operation_branch	rejected	309
operation_branch	zero-length-output-rejection	3
initial_state	role=client-server;lifecycle=closed	6
initial_state	role=client-server;lifecycle=closed;output=caller-owned	2
initial_state	role=client-server;lifecycle=draining;stream=half-closed-local	13
initial_state	role=client-server;lifecycle=draining;stream=half-closed-local;continuation=pending	2
initial_state	role=client-server;lifecycle=draining;stream=half-closed-local;hpack=dynamic-table;flow=bounded-credit;continuation=pending	636
initial_state	role=client-server;lifecycle=draining;stream=reserved-by-peer;flow=bounded-credit;continuation=pending	4
initial_state	role=client-server;lifecycle=open	53
initial_state	role=client-server;lifecycle=open;continuation=pending	2
initial_state	role=client-server;lifecycle=open;continuation=pending;output=caller-owned	38
initial_state	role=client-server;lifecycle=open;flow=bounded-credit;output=caller-owned	12
initial_state	role=client-server;lifecycle=open;hpack=dynamic-table;continuation=pending;output=caller-owned	5
initial_state	role=client-server;lifecycle=open;hpack=dynamic-table;output=caller-owned	27
initial_state	role=client-server;lifecycle=open;output=caller-owned	228
initial_state	role=client-server;lifecycle=open;stream=half-closed-local;output=caller-owned	1
initial_state	role=client;lifecycle=closed;continuation=pending	1
initial_state	role=client;lifecycle=draining;continuation=pending	1
initial_state	role=client;lifecycle=draining;stream=half-closed-local;continuation=pending	2
initial_state	role=client;lifecycle=draining;stream=reserved-by-peer;continuation=pending	3
initial_state	role=client;lifecycle=open	23
initial_state	role=client;lifecycle=open;continuation=pending	11
initial_state	role=client;lifecycle=open;hpack=dynamic-table	4
initial_state	role=client;lifecycle=open;hpack=dynamic-table;continuation=pending	1
initial_state	role=client;lifecycle=open;stream=half-closed-remote	9
initial_state	role=client;lifecycle=open;stream=half-closed-remote;continuation=pending	2
initial_state	role=client;lifecycle=open;stream=half-closed-remote;flow=bounded-credit	1
initial_state	role=client;lifecycle=open;stream=half-closed-remote;flow=bounded-credit;continuation=pending	1
initial_state	role=client;lifecycle=open;stream=reserved-by-peer	90
initial_state	role=client;lifecycle=open;stream=reserved-by-peer;continuation=pending	19
initial_state	role=local;lifecycle=closed	2
initial_state	role=local;lifecycle=draining	5
initial_state	role=local;lifecycle=open	38
initial_state	role=local;lifecycle=open;continuation=pending	1
initial_state	role=local;lifecycle=open;flow=bounded-credit	2
initial_state	role=local;lifecycle=open;stream=half-closed-local	190
initial_state	role=local;lifecycle=open;stream=half-closed-local;continuation=pending	4
initial_state	role=local;lifecycle=open;stream=half-closed-local;flow=bounded-credit	39
initial_state	role=local;lifecycle=open;stream=half-closed-local;flow=bounded-credit;continuation=pending	6
initial_state	role=local;lifecycle=open;stream=half-closed-local;hpack=dynamic-table	11
initial_state	role=not-applicable;lifecycle=closed	2
initial_state	role=not-applicable;lifecycle=closed;continuation=pending	2
initial_state	role=not-applicable;lifecycle=closed;flow=bounded-credit	4
initial_state	role=not-applicable;lifecycle=draining	34
initial_state	role=not-applicable;lifecycle=draining;continuation=pending	6
initial_state	role=not-applicable;lifecycle=draining;flow=bounded-credit;continuation=pending	2
initial_state	role=not-applicable;lifecycle=draining;hpack=dynamic-table	2
initial_state	role=not-applicable;lifecycle=open	143
initial_state	role=not-applicable;lifecycle=open;continuation=pending	256
initial_state	role=not-applicable;lifecycle=open;flow=bounded-credit	27
initial_state	role=not-applicable;lifecycle=open;flow=bounded-credit;continuation=pending	9
initial_state	role=not-applicable;lifecycle=open;hpack=dynamic-table	373
initial_state	role=not-applicable;lifecycle=open;hpack=dynamic-table;continuation=pending	93
initial_state	role=not-applicable;lifecycle=open;output=caller-owned	2
initial_state	role=not-applicable;lifecycle=open;stream=half-closed-remote	39
initial_state	role=not-applicable;lifecycle=open;stream=half-closed-remote;continuation=pending	3
initial_state	role=not-applicable;lifecycle=open;stream=half-closed-remote;flow=bounded-credit	11
initial_state	role=not-applicable;lifecycle=open;stream=half-closed-remote;flow=bounded-credit;continuation=pending	19
initial_state	role=peer;lifecycle=closed	20
initial_state	role=peer;lifecycle=closed;continuation=pending	7
initial_state	role=peer;lifecycle=closed;flow=bounded-credit	2
initial_state	role=peer;lifecycle=closed;flow=bounded-credit;continuation=pending	3
initial_state	role=peer;lifecycle=draining	6
initial_state	role=peer;lifecycle=open	51
initial_state	role=peer;lifecycle=open;continuation=pending	49
initial_state	role=peer;lifecycle=open;flow=bounded-credit	21
initial_state	role=peer;lifecycle=open;flow=bounded-credit;continuation=pending	7
initial_state	role=peer;lifecycle=open;hpack=dynamic-table	19
initial_state	role=peer;lifecycle=open;hpack=dynamic-table;continuation=pending	10
initial_state	role=peer;lifecycle=open;stream=half-closed-local	2
initial_state	role=peer;lifecycle=open;stream=half-closed-local;flow=bounded-credit	3
initial_state	role=peer;lifecycle=open;stream=half-closed-local;hpack=dynamic-table	5
initial_state	role=peer;lifecycle=open;stream=half-closed-remote	34
initial_state	role=peer;lifecycle=open;stream=half-closed-remote;flow=bounded-credit	3
initial_state	role=peer;lifecycle=open;stream=half-closed-remote;flow=bounded-credit;continuation=pending	6
initial_state	role=peer;lifecycle=open;stream=reserved-by-peer	1
initial_state	role=server;lifecycle=closed	21
initial_state	role=server;lifecycle=closed;flow=bounded-credit	4
initial_state	role=server;lifecycle=draining	2
initial_state	role=server;lifecycle=draining;continuation=pending	1
initial_state	role=server;lifecycle=draining;flow=bounded-credit	7
initial_state	role=server;lifecycle=draining;stream=half-closed-local;flow=bounded-credit;continuation=pending	2
initial_state	role=server;lifecycle=draining;stream=reserved-by-peer;flow=bounded-credit;continuation=pending	37
initial_state	role=server;lifecycle=open	98
initial_state	role=server;lifecycle=open;continuation=pending	16
initial_state	role=server;lifecycle=open;flow=bounded-credit	10
initial_state	role=server;lifecycle=open;hpack=dynamic-table	13
initial_state	role=server;lifecycle=open;hpack=dynamic-table;continuation=pending	26
initial_state	role=server;lifecycle=open;stream=half-closed-local	2
initial_state	role=server;lifecycle=open;stream=reserved-by-peer	1
output_provenance	checked-case-assertion	386
output_provenance	public-core-receive	1158
output_provenance	public-core-send	714
output_provenance	public-core-state	10
output_provenance	public-frame-codec	3
output_provenance	public-hpack-codec	740
failure_atomicity	checked-failure-state-preservation	3011
diagnostic_precedence	checked-diagnostic-id	1314
diagnostic_precedence	checked-failure-source	195
diagnostic_precedence	not-applicable	1502
required_post_state	caller-state-preserved	84
required_post_state	emitted-bytes-exact	275
required_post_state	no-next-state	38
required_post_state	no-next-state;caller-state-preserved	271
required_post_state	no-next-state;caller-state-preserved;diagnostic-id-exact	274
required_post_state	no-next-state;caller-state-preserved;output-unchanged;diagnostic-id-exact	636
required_post_state	no-next-state;diagnostic-id-exact	91
required_post_state	no-next-state;output-unchanged	37
required_post_state	no-next-state;output-unchanged;emitted-bytes-exact	3
required_post_state	state-transition-exact	1302
result_projection	row-0001:helper:validate_stream_id_domain:require_connection_stream_id	1
result_projection	row-0002:helper:validate_stream_id_domain:require_connection_stream_id	1
result_projection	row-0003:helper:validate_stream_id_domain:require_connection_stream_id	1
result_projection	row-0004:helper:validate_stream_id_domain:require_peer_stream_id	1
result_projection	row-0005:helper:validate_stream_id_domain:require_peer_stream_id	1
result_projection	row-0006:helper:validate_stream_id_domain:require_peer_stream_id	1
result_projection	row-0007:helper:validate_stream_id_domain:require_peer_stream_id	1
result_projection	row-0008:helper:validate_stream_id_domain:require_peer_stream_id	1
result_projection	row-0009:helper:validate_stream_id_domain:require_client_stream_id	1
result_projection	row-0010:helper:validate_window_update_stream_id:require_peer_stream_id	1
result_projection	row-0011:helper:require_peer_stream_id:require_server_stream_id	1
result_projection	row-0012:helper:require_peer_stream_id:require_client_stream_id	1
result_projection	row-0013:helper:validate_received_push_promise_stream:require_server_promised_stream_id	1
result_projection	row-0014:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0015:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0016:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0017:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0018:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0019:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0020:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0021:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0022:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0023:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0024:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0025:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0026:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0027:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0028:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0029:helper:require_peer_stream_failure_preserves_connection_state:require_equal_string	1
result_projection	row-0030:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0031:helper:require_peer_stream_failure_preserves_connection_state:require_true	1
result_projection	row-0032:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0033:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0034:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0035:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0036:helper:require_peer_stream_failure_preserves_connection_state:require_equal_string	1
result_projection	row-0037:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0038:helper:require_peer_stream_failure_preserves_connection_state:require_equal_int	1
result_projection	row-0039:helper:require_outbound_headers_connection_accepted:require_equal_int	1
result_projection	row-0040:helper:require_outbound_headers_connection_failure:require_equal_string	1
result_projection	row-0041:helper:require_outbound_headers_connection_state_preserved:require_equal_string	1
result_projection	row-0042:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0043:helper:require_outbound_headers_connection_state_preserved:require_equal_string	1
result_projection	row-0044:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0045:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0046:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0047:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0048:helper:require_outbound_headers_connection_state_preserved:require_equal_string	1
result_projection	row-0049:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0050:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0051:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0052:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0053:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0054:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0055:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0056:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0057:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0058:helper:require_outbound_headers_connection_state_preserved:require_equal_int	1
result_projection	row-0059:helper:require_outbound_push_promise_accepted:require_client_push_equal_int	1
result_projection	row-0060:helper:require_outbound_push_promise_failure:require_client_push_equal_string	1
result_projection	row-0061:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0062:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_string	1
result_projection	row-0063:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0064:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0065:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0066:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0067:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_string	1
result_projection	row-0068:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0069:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0070:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0071:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0072:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0073:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0074:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0075:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0076:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0077:helper:require_outbound_push_promise_state_preserved:require_client_push_equal_int	1
result_projection	row-0078:helper:require_client_push_ordering_rejection_preserves_state:require_client_push_equal_string	1
result_projection	row-0079:helper:require_client_push_ordering_rejection_preserves_state:require_true	1
result_projection	row-0080:helper:require_client_push_ordering_rejection_preserves_state:require_true	1
result_projection	row-0081:helper:require_client_push_ordering_rejection_preserves_state:require_true	1
result_projection	row-0082:helper:require_client_push_ordering_rejection_preserves_state:require_client_push_equal_int	1
result_projection	row-0083:helper:require_client_push_ordering_rejection_preserves_state:require_client_push_equal_int	1
result_projection	row-0084:helper:require_client_push_ordering_rejection_preserves_state:require_client_push_equal_int	1
result_projection	row-0085:helper:require_client_push_ordering_rejection_preserves_state:require_true	1
result_projection	row-0086:helper:require_client_push_ordering_rejection_preserves_state:require_client_push_equal_int	1
result_projection	row-0087:helper:require_client_push_ordering_rejection_preserves_state:require_client_push_equal_int	1
result_projection	row-0088:helper:require_client_push_ordering_rejection_preserves_state:require_client_push_equal_int	1
result_projection	row-0089:helper:require_client_push_ordering_rejection_preserves_state:require_client_push_equal_string	1
result_projection	row-0090:helper:require_client_push_ordering_rejection_preserves_state:require_client_push_equal_int	1
result_projection	row-0091:helper:require_client_push_ordering_rejection_preserves_state:require_client_push_equal_int	1
result_projection	row-0092:helper:require_informational_response_coverage:require_frame_decoded	1
result_projection	row-0093:helper:require_informational_response_coverage:require_true	1
result_projection	row-0094:helper:require_informational_response_coverage:require_frame_decoded	1
result_projection	row-0095:helper:require_informational_response_coverage:require_true	1
result_projection	row-0096:helper:require_informational_response_coverage:require_failure_with_id	1
result_projection	row-0097:helper:require_informational_response_coverage:require_frame_decoded	1
result_projection	row-0098:helper:require_informational_response_coverage:require_true	1
result_projection	row-0099:helper:require_informational_response_coverage:require_frame_decoded	1
result_projection	row-0100:helper:require_informational_response_coverage:require_frame_decoded	1
result_projection	row-0101:helper:require_informational_response_coverage:require_equal_int	1
result_projection	row-0102:helper:require_informational_response_coverage:require_frame_decoded	1
result_projection	row-0103:helper:require_informational_response_coverage:require_true	1
result_projection	row-0104:helper:require_informational_response_coverage:require_frame_decoded	1
result_projection	row-0105:helper:require_informational_response_coverage:require_frame_decoded	1
result_projection	row-0106:helper:require_informational_response_coverage:require_equal_string	1
result_projection	row-0107:helper:require_informational_response_coverage:require_frame_decoded	1
result_projection	row-0108:helper:require_informational_response_coverage:require_equal_string	1
result_projection	row-0109:helper:require_informational_response_coverage:require_response_header_failure_context	1
result_projection	row-0110:helper:require_informational_response_coverage:require_response_header_failure_context	1
result_projection	row-0111:helper:require_head_response_coverage:require_outbound_headers_connection_transition	1
result_projection	row-0112:helper:require_head_response_coverage:require_outbound_headers_connection_accepted	1
result_projection	row-0113:helper:require_head_response_coverage:require_equal_string	1
result_projection	row-0114:helper:require_head_response_coverage:require_frame_decoded	1
result_projection	row-0115:helper:require_head_response_coverage:require_frame_decoded	1
result_projection	row-0116:helper:require_head_response_coverage:require_frame_decoded	1
result_projection	row-0117:helper:require_head_response_coverage:require_frame_decoded	1
result_projection	row-0118:helper:require_head_response_coverage:require_frame_decoded	1
result_projection	row-0119:helper:require_head_response_coverage:require_no_content_body_failure_context	1
result_projection	row-0120:helper:require_head_response_coverage:require_frame_decoded	1
result_projection	row-0121:helper:require_head_response_coverage:require_no_content_body_failure_context	1
result_projection	row-0122:helper:require_head_response_coverage:require_frame_decoded	1
result_projection	row-0123:helper:require_head_response_coverage:require_equal_int	1
result_projection	row-0124:helper:require_head_response_coverage:require_no_content_body_failure_context	1
result_projection	row-0125:helper:require_head_response_coverage:require_no_content_body_failure_context	1
result_projection	row-0126:helper:require_head_response_coverage:require_peer_stream_failure_preserves_connection_state	1
result_projection	row-0127:helper:require_head_response_coverage:require_outbound_headers_connection_transition	1
result_projection	row-0128:helper:require_head_response_coverage:require_frame_decoded	1
result_projection	row-0129:helper:require_no_content_response_coverage:require_frame_decoded	1
result_projection	row-0130:helper:require_no_content_response_coverage:require_equal_int	1
result_projection	row-0131:helper:require_no_content_response_coverage:require_frame_decoded	1
result_projection	row-0132:helper:require_no_content_response_coverage:require_equal_int	1
result_projection	row-0133:helper:require_no_content_response_coverage:require_frame_decoded	1
result_projection	row-0134:helper:require_no_content_response_coverage:require_equal_int	1
result_projection	row-0135:helper:require_no_content_response_coverage:require_frame_decoded	1
result_projection	row-0136:helper:require_no_content_response_coverage:require_frame_decoded	1
result_projection	row-0137:helper:require_no_content_response_coverage:require_frame_decoded	1
result_projection	row-0138:helper:require_no_content_response_coverage:require_frame_decoded	1
result_projection	row-0139:helper:require_no_content_response_coverage:require_frame_decoded	1
result_projection	row-0140:helper:require_no_content_response_coverage:require_frame_decoded	1
result_projection	row-0141:helper:require_no_content_response_coverage:require_equal_int	1
result_projection	row-0142:helper:require_no_content_response_coverage:require_frame_decoded	1
result_projection	row-0143:helper:require_no_content_response_coverage:require_equal_int	1
result_projection	row-0144:helper:require_no_content_response_coverage:require_frame_decoded	1
result_projection	row-0145:helper:require_no_content_response_coverage:require_no_content_body_failure_context	1
result_projection	row-0146:helper:require_no_content_response_coverage:require_no_content_body_failure_context	1
result_projection	row-0147:helper:require_extended_connect_negotiation_cases:require_outbound_settings_accepted	1
result_projection	row-0148:helper:require_extended_connect_negotiation_cases:require_frame_decoded	1
result_projection	row-0149:helper:require_extended_connect_negotiation_cases:require_frame_decoded	1
result_projection	row-0150:helper:require_extended_connect_negotiation_cases:require_request_header_failure_detail	1
result_projection	row-0151:helper:require_extended_connect_negotiation_cases:require_peer_stream_failure_preserves_connection_state	1
result_projection	row-0152:helper:require_extended_connect_negotiation_cases:require_request_header_failure_detail	1
result_projection	row-0153:helper:require_extended_connect_negotiation_cases:require_peer_stream_failure_preserves_connection_state	1
result_projection	row-0154:helper:require_extended_connect_negotiation_cases:require_frame_decoded	1
result_projection	row-0155:helper:require_extended_connect_negotiation_cases:require_frame_decoded	1
result_projection	row-0156:helper:require_extended_connect_negotiation_cases:require_request_header_failure_fact	1
result_projection	row-0157:helper:require_extended_connect_negotiation_cases:require_frame_decoded	1
result_projection	row-0158:helper:require_extended_connect_negotiation_cases:require_request_header_failure_fact	1
result_projection	row-0159:helper:require_extended_connect_negotiation_cases:require_request_header_failure_fact	1
result_projection	row-0160:helper:require_extended_connect_negotiation_cases:require_request_header_failure_fact	1
result_projection	row-0161:helper:require_extended_connect_negotiation_cases:require_request_header_failure_fact	1
result_projection	row-0162:helper:require_extended_connect_negotiation_cases:require_request_header_failure_fact	1
result_projection	row-0163:helper:require_extended_connect_negotiation_cases:require_request_header_failure_fact	1
result_projection	row-0164:helper:require_extended_connect_negotiation_cases:require_frame_decoded	1
result_projection	row-0165:helper:require_extended_connect_negotiation_cases:require_frame_decoded	1
result_projection	row-0166:helper:require_extended_connect_negotiation_cases:require_equal_int	1
result_projection	row-0167:helper:require_extended_connect_negotiation_cases:require_equal_int	1
result_projection	row-0168:helper:require_extended_connect_negotiation_cases:require_failure_with_id	1
result_projection	row-0169:helper:require_extended_connect_negotiation_cases:require_failure_with_id	1
result_projection	row-0170:helper:require_extended_connect_negotiation_cases:require_equal_int	1
result_projection	row-0171:helper:require_extended_connect_negotiation_cases:require_outbound_settings_rejected_for_role	1
result_projection	row-0172:helper:require_extended_connect_negotiation_cases:require_equal_int	1
result_projection	row-0173:helper:require_hpack_static_request_scheme_validation:require_frame_decoded	1
result_projection	row-0174:helper:require_hpack_static_request_scheme_validation:require_frame_decoded	1
result_projection	row-0175:helper:require_hpack_static_request_scheme_validation:require_frame_decoded	1
result_projection	row-0176:helper:require_hpack_static_request_scheme_validation:require_frame_decoded	1
result_projection	row-0177:helper:require_hpack_static_request_scheme_validation:require_request_header_failure_detail	1
